0;1;2.014
0;2;2.911
1;3;4.802
1;2;2.32
1;6;0.774
1;7;2.248
1;8;2.399
1;10;3.058
2;8;1.884
2;9;3.591
2;6;3.223
2;7;2.402
2;3;4.797
2;11;2.27
3;5;3.266
3;12;1.395
3;13;1.36
5;1;2.57
5;2;3.27
5;9;3.977
5;14;3.088
5;7;2.611
5;10;1.647
5;12;1.722
4;1;5.199
4;2;4.8
4;7;3.028
4;5;2.157
4;12;2.137
4;15;0.954
4;11;0.862
7;14;4.324
7;11;0.15
6;9;2.556
6;5;2.342
8;9;1.614
9;1;2.523
